"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,28116.8285594656,"LEED interpolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,35518.3014667637,"LEED interpolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,32428.6533103084,"LEED interpolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,39603.7224491801,"LEED interpolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37574.8774146182,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,38091.6708393069,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,38660.9507505695,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,36640.131095636,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,39460.5654880447,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,33769.6956943951,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,31278.9332820365,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,35022.5848913391,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,40575.6641956567,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,41762.3888028695,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,35513.61718832,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,28693.9758274536,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,36855.5052250076,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,54029.2134720647,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,47218.3272692026,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,49153.3299764154,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,64270.0925611379,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,34381.5121425937,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37839.8364253776,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37814.5209389559,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37281.8222585157,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,38014.5796448083,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,39361.5356039703,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,36113.2678854214,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,27728.0508554941,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,34849.408079615,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,35824.8026506876,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37569.2782294751,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,44137.8077515272,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,41733.3168158461,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,54047.0067382696,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,39861.6673308957,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,35105.5871728343,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,34875.7678740514,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,30613.3198940278,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,30992.2362716423,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37588.910134341,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,55212.9417284063,"LEED interpolated"
