"area","date","dwellings_adj","year","pop","ppd","index","index_pop","index_dwel"
"Marlborough",2017-06-30,22786.9725918569,2017,47900,2.10207827331645,0.983950465468394,1.09862385321101,1.11654386248806
"Nelson",2017-06-30,21016.4019176918,2017,52000,2.47425797258977,1.03005083591786,1.17381489841986,1.1395698712034
"Northland",2017-06-30,78129.381507034,2017,181200,2.31922992995518,1.01772588097625,1.18664047151277,1.16597258033223
"Otago",2017-06-30,99448.2129796574,2017,228800,2.30069493603472,1.00902708986129,1.14514514514515,1.13490029816996
"Southland",2017-06-30,43620.4701086988,2017,99900,2.29020915526717,0.995860665325815,1.07188841201717,1.07634375906039
"Taranaki",2017-06-30,49027.265663057,2017,120000,2.44761763433245,0.999357273208768,1.11835973904939,1.11907900110491
"Tasman",2017-06-30,22701.9987611127,2017,53000,2.3345961982337,1.01355689733035,1.15720524017467,1.1417269649318
"Waikato",2017-06-30,192704.597008658,2017,465000,2.41301975779596,1.02252447392701,1.18260427263479,1.15655351318193
"Wellington",2017-06-30,199374.934174086,2017,518300,2.59962468274694,1.01832563380807,1.11151619129316,1.09151351433293
"West Coast",2017-06-30,16769.8506239014,2017,32700,1.94992792323349,0.919251182748573,1.01869158878505,1.1081754453001
"Auckland",2018-06-30,540550.876882724,2018,1654800,3.06132146069762,1.05782932700141,1.20524399126001,1.13935581146769
"Bay of Plenty",2018-06-30,126477.015926378,2018,320800,2.53642922906038,1.04001446464076,1.20919713531851,1.16267338237088
"Canterbury",2018-06-30,252546.415785628,2018,622800,2.46608132632799,1.00886475906833,1.15333333333333,1.14319914831639
"Gisborne",2018-06-30,18453.9884505726,2018,49500,2.68234696973943,1.00789572596731,1.07608695652174,1.06765702919217
"Hawke's Bay",2018-06-30,66273.2271400467,2018,172400,2.60135212120709,1.02959903609538,1.13346482577252,1.1008798435467
"Manawatu-Whanganui",2018-06-30,102210.479572549,2018,247500,2.42147381594394,1.0002551695332,1.07890148212729,1.07862624957069
"Marlborough",2018-06-30,23067.1058777361,2018,48700,2.11123147646382,0.988234938892481,1.11697247706422,1.13027017473802
"Nelson",2018-06-30,21269.7733458271,2018,52700,2.47769447953892,1.03148147770817,1.18961625282167,1.15330840013226
"Northland",2018-06-30,79674.7325673862,2018,185800,2.33198147032193,1.02332151963456,1.21676489849378,1.18903480005805
"Otago",2018-06-30,101561.08801524,2018,235000,2.31387832281529,1.01480899262005,1.17617617617618,1.15901237053439
"Southland",2018-06-30,43889.3585004882,2018,100500,2.28984891631264,0.995704021202674,1.07832618025751,1.08297863350501
"Taranaki",2018-06-30,49624.0391355762,2018,121200,2.44236467065636,0.997212498885377,1.12954333643989,1.13270074101801
"Tasman",2018-06-30,23095.5482434695,2018,54000,2.33811293114763,1.01508367481062,1.17903930131004,1.16151932157712
"Waikato",2018-06-30,196323.567284617,2018,475600,2.42253136787448,1.02655504767607,1.20956256358087,1.178273455787
"Wellington",2018-06-30,201571.092360968,2018,525900,2.6090050603994,1.02200011769865,1.12781471155908,1.10353677267544
"West Coast",2018-06-30,16870.1358147714,2018,32400,1.92055359575889,0.905403293833429,1.00934579439252,1.11480243253701
"Auckland",2019-06-30,552191.972696157,2019,1681300,3.04477443196215,1.05211155691558,1.22454479242535,1.16389254007939
"Bay of Plenty",2019-06-30,128653.803020953,2019,328200,2.55103224540163,1.04600215317875,1.23709008669431,1.18268407281462
"Canterbury",2019-06-30,256928.722320598,2019,631700,2.45865855048996,1.00582812889823,1.16981481481481,1.16303648824796
"Gisborne",2019-06-30,18547.097662731,2019,50200,2.70662293976449,1.01701745656667,1.09130434782609,1.07304387036797
"Hawke's Bay",2019-06-30,66846.4101454065,2019,174900,2.61644566431543,1.03557296684813,1.14990138067061,1.11040111849429
"Manawatu-Whanganui",2019-06-30,103223.090642337,2019,250600,2.42775137268769,1.00284828391818,1.0924149956408,1.08931232486402
"Marlborough",2019-06-30,23376.5385361859,2019,49300,2.10895209843347,0.987167997141353,1.13073394495413,1.14543213336384
"Nelson",2019-06-30,21510.7642956699,2019,53400,2.48247804057569,1.03347290750215,1.20541760722348,1.16637562385347
