"area","date","dwellings","ann.change"
"Marlborough",2008-09-30,21166,0.0175961538461538
"Nelson",2008-09-30,19068,0.0171227396383422
"Northland",2008-09-30,69983,0.0190907502329916
"Otago",2008-09-30,90346,0.0136543661434549
"Southland",2008-09-30,41237,0.00843685806514727
"Taranaki",2008-09-30,45111,0.0128654182944901
"Tasman",2008-09-30,20428,0.0131931356016268
"Waikato",2008-09-30,173710,0.0197360696926292
"Wellington",2008-09-30,186704,0.00995326293924181
"West Coast",2008-09-30,15632,0.0157904997075833
"Auckland",2008-10-31,489673,0.0118778736374439
"Bay of Plenty",2008-10-31,112798,0.01376880628404
"Canterbury",2008-10-31,228360,0.0150325809634719
"Gisborne",2008-10-31,17555,0.00688270719816453
"Hawke's Bay",2008-10-31,62056,0.0129607260618327
"Manawatu-Whanganui",2008-10-31,96955,0.0105373968148086
"Marlborough",2008-10-31,21190,0.0177713736791547
"Nelson",2008-10-31,19089,0.0171577769488998
"Northland",2008-10-31,70081,0.0190635451505017
"Otago",2008-10-31,90415,0.0132121565287553
"Southland",2008-10-31,41273,0.00857729338741997
"Taranaki",2008-10-31,45160,0.0126241675449021
"Tasman",2008-10-31,20439,0.0123328380386329
"Waikato",2008-10-31,173952,0.0192420371715847
"Wellington",2008-10-31,186857,0.0101688867745005
"West Coast",2008-10-31,15659,0.0158946412352408
"Auckland",2008-11-30,490154,0.0119183039797184
"Bay of Plenty",2008-11-30,112919,0.0139268012355434
"Canterbury",2008-11-30,228630,0.0150821593638588
"Gisborne",2008-11-30,17568,0.00751276022251535
"Hawke's Bay",2008-11-30,62126,0.0124177041913827
"Manawatu-Whanganui",2008-11-30,97060,0.0107468654975633
"Marlborough",2008-11-30,21238,0.0185602608987578
"Nelson",2008-11-30,19121,0.0177782509181881
"Northland",2008-11-30,70198,0.0184841274447218
"Otago",2008-11-30,90525,0.0128897989325636
"Southland",2008-11-30,41308,0.00866847361609646
"Taranaki",2008-11-30,45203,0.0123852183650617
"Tasman",2008-11-30,20452,0.0119742701632854
"Waikato",2008-11-30,174226,0.0190502371775001
"Wellington",2008-11-30,187012,0.010034889875455
"West Coast",2008-11-30,15672,0.0152889349572427
"Auckland",2008-12-31,490584,0.0119286057578265
"Bay of Plenty",2008-12-31,113030,0.0140129902752359
"Canterbury",2008-12-31,228774,0.0145773370526905
"Gisborne",2008-12-31,17572,0.00716455551097606
"Hawke's Bay",2008-12-31,62170,0.0125077359043679
"Manawatu-Whanganui",2008-12-31,97147,0.010968540892677
"Marlborough",2008-12-31,21268,0.0181435205131888
"Nelson",2008-12-31,19130,0.0177155929137629
"Northland",2008-12-31,70286,0.0180032733224222
"Otago",2008-12-31,90598,0.0129245768207329
"Southland",2008-12-31,41356,0.00910133469975349
"Taranaki",2008-12-31,45264,0.0130027079649979
"Tasman",2008-12-31,20458,0.0109205909966892
"Waikato",2008-12-31,174394,0.0186089435073127
"Wellington",2008-12-31,187157,0.0100542920979632
"West Coast",2008-12-31,15685,0.0150132660324855
"Auckland",2009-01-31,491010,0.0119077060045505
"Bay of Plenty",2009-01-31,113154,0.0139519879566654
"Canterbury",2009-01-31,228969,0.01467714274319
"Gisborne",2009-01-31,17577,0.00710479573712264
"Hawke's Bay",2009-01-31,62240,0.0123946777709099
"Manawatu-Whanganui",2009-01-31,97188,0.0102597686094739
"Marlborough",2009-01-31,21288,0.0182235614865836
"Nelson",2009-01-31,19158,0.0179055310557357
"Northland",2009-01-31,70357,0.0175872492442979
"Otago",2009-01-31,90684,0.0124937196449506
"Southland",2009-01-31,41392,0.00963485133058506
"Taranaki",2009-01-31,45312,0.0130566982650688
"Tasman",2009-01-31,20464,0.0107176371808169
"Waikato",2009-01-31,174575,0.0183041000484143
"Wellington",2009-01-31,187263,0.0100757841365733
"West Coast",2009-01-31,15707,0.0150575158330102
"Auckland",2009-02-28,491513,0.0120349703912961
"Bay of Plenty",2009-02-28,113269,0.0139648551146281
"Canterbury",2009-02-28,229169,0.0138920227050512
"Gisborne",2009-02-28,17602,0.0077865567388069
"Hawke's Bay",2009-02-28,62289,0.0116120440445642
"Manawatu-Whanganui",2009-02-28,97247,0.0102849662881661
"Marlborough",2009-02-28,21323,0.018338984669755
"Nelson",2009-02-28,19182,0.017720713073005
"Northland",2009-02-28,70446,0.0174911533184083
"Otago",2009-02-28,90738,0.0121812462351918
"Southland",2009-02-28,41447,0.0102125377790776
"Taranaki",2009-02-28,45346,0.012843135065109
"Tasman",2009-02-28,20472,0.010364228605271
"Waikato",2009-02-28,174770,0.0177199857914014
"Wellington",2009-02-28,187397,0.0102863242564248
"West Coast",2009-02-28,15721,0.014716323500936
"Auckland",2009-03-31,491824,0.0116380001892358
"Bay of Plenty",2009-03-31,113394,0.0136773224629907
"Canterbury",2009-03-31,229318,0.0129289591900739
"Gisborne",2009-03-31,17614,0.0083004178831072
