"date","index","type","area","change_since06"
2008-01-31,1.03213157889492,"relative rental price index","Nelson",0.032
2008-01-31,1.04109624448931,"relative rental price index","Northland",0.041
2008-01-31,0.995901085993308,"relative rental price index","Otago",-0.004
2008-01-31,0.977094182419878,"relative rental price index","Southland",-0.023
2008-01-31,1.01807254812177,"relative rental price index","Taranaki",0.018
2008-01-31,1.05413357343258,"relative rental price index","Tasman",0.054
2008-01-31,0.977780775130583,"relative rental price index","Waikato",-0.022
2008-01-31,1.03209236122792,"relative rental price index","Wellington",0.032
2008-01-31,0.992588354429246,"relative rental price index","West Coast",-0.007
2008-02-29,0.992332269257134,"relative rental price index","Auckland",-0.008
2008-02-29,0.988093929051448,"relative rental price index","Bay of Plenty",-0.012
2008-02-29,0.992761040198599,"relative rental price index","Canterbury",-0.007
2008-02-29,1.05533670697683,"relative rental price index","Gisborne",0.055
2008-02-29,0.960422662211705,"relative rental price index","Hawke's Bay",-0.04
2008-02-29,0.981944256235424,"relative rental price index","Manawatu- Whanganui",-0.018
2008-02-29,1.05037746824081,"relative rental price index","Marlborough",0.05
2008-02-29,1.01391903630726,"relative rental price index","Nelson",0.014
2008-02-29,1.05637121103282,"relative rental price index","Northland",0.056
2008-02-29,0.992417114555484,"relative rental price index","Otago",-0.008
2008-02-29,0.995744620449245,"relative rental price index","Southland",-0.004
2008-02-29,1.02123110785855,"relative rental price index","Taranaki",0.021
2008-02-29,1.01264777049015,"relative rental price index","Tasman",0.013
2008-02-29,0.969836079300189,"relative rental price index","Waikato",-0.03
2008-02-29,1.05549973343264,"relative rental price index","Wellington",0.055
2008-02-29,1.01568923985713,"relative rental price index","West Coast",0.016
2008-03-31,0.996000780418898,"relative rental price index","Auckland",-0.004
2008-03-31,1.00613511596739,"relative rental price index","Bay of Plenty",0.006
2008-03-31,1.00384987411107,"relative rental price index","Canterbury",0.004
2008-03-31,1.07535612797744,"relative rental price index","Gisborne",0.075
2008-03-31,0.972835810551348,"relative rental price index","Hawke's Bay",-0.027
2008-03-31,0.991500461287111,"relative rental price index","Manawatu- Whanganui",-0.008
2008-03-31,0.974175050406979,"relative rental price index","Marlborough",-0.026
2008-03-31,1.04488137943889,"relative rental price index","Nelson",0.045
2008-03-31,1.03361563491579,"relative rental price index","Northland",0.034
2008-03-31,0.993059215555148,"relative rental price index","Otago",-0.007
2008-03-31,0.995257492380333,"relative rental price index","Southland",-0.005
2008-03-31,1.05128739279569,"relative rental price index","Taranaki",0.051
2008-03-31,1.02733444764926,"relative rental price index","Tasman",0.027
2008-03-31,0.983830582693072,"relative rental price index","Waikato",-0.016
